"proteins","fats","carbohydrates","calories","height","weight","age","male","lactose allergy","drink"
2.9,2.5,4.7,53.0,70,175,25,2,1,0
2.9,2.5,4.7,53.0,58,163,32,1,1,0
2.9,2.5,4.7,53.0,85,187,40,3,1,0
2.9,2.5,4.7,53.0,62,158,19,3,1,0
2.9,2.5,4.7,53.0,90,195,45,2,1,0
2.9,2.5,4.7,53.0,55,170,52,1,1,0
2.9,2.5,4.7,53.0,48,160,14,1,1,0
2.9,2.5,4.7,53.0,106,200,68,1,1,0
2.9,2.5,4.7,53.0,73,157,75,4,1,0
2.9,2.5,4.7,53.0,39,135,12,1,1,0
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,58,163,32,1,0,1
2.9,2.5,4.7,53.0,85,187,40,3,0,1
2.9,2.5,4.7,53.0,62,158,19,3,0,1
2.9,2.5,4.7,53.0,90,195,45,2,0,1
2.9,2.5,4.7,53.0,55,170,52,1,0,1
2.9,2.5,4.7,53.0,48,160,14,1,0,1
2.9,2.5,4.7,53.0,106,200,68,1,0,1
2.9,2.5,4.7,53.0,73,157,75,4,0,0
2.9,2.5,4.7,53.0,39,135,12,1,0,0
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,70,175,25,2,0,1
2.9,2.5,4.7,53.0,70,175,25,2,0,0
2.9,2.5,4.7,53.0,70,175,25,2,0,0
2.9,2.5,4.7,53.0,70,175,25,2,0,0
2.9,2.5,4.7,53.0,70,175,25,2,0,0
2.9,2.5,4.7,53.0,70,175,25,2,0,0
2.9,2.5,4.7,53.0,58,163,32,1,0,0
2.9,2.5,4.7,53.0,85,187,40,3,0,0
2.9,2.5,4.7,53.0,62,158,19,3,0,0
2.9,2.5,4.7,53.0,90,195,45,2,0,0
2.9,2.5,4.7,53.0,55,170,52,1,0,0
2.9,2.5,4.7,53.0,48,160,14,1,0,0
2.9,2.5,4.7,53.0,106,200,68,1,0,0
2.9,2.5,4.7,53.0,73,157,75,4,0,0
2.9,2.5,4.7,53.0,39,135,12,1,0,0
2.9,2.5,4.7,53.0,70,175,25,2,0,0
2.9,2.5,4.7,53.0,58,163,32,1,0,0
2.9,2.5,4.7,53.0,85,187,40,3,0,0
2.9,2.5,4.7,53.0,62,158,19,3,0,0
2.9,2.5,4.7,53.0,90,195,45,2,0,0
2.9,2.5,4.7,53.0,55,170,52,1,0,0
2.9,2.5,4.7,53.0,48,160,14,1,0,0
2.9,2.5,4.7,53.0,106,200,68,1,0,0
2.9,2.5,4.7,53.0,73,157,75,4,0,0
2.9,2.5,4.7,53.0,39,135,12,1,0,1
2.9,2.5,4.7,53.0,62,158,19,4,0,1
2.0,0.1,4.8,31.0,70,175,25,2,1,0
2.0,0.1,4.8,31.0,58,163,32,1,1,0
2.0,0.1,4.8,31.0,85,187,40,3,1,0
2.0,0.1,4.8,31.0,62,158,19,3,1,0
2.0,0.1,4.8,31.0,90,195,45,2,1,0
2.0,0.1,4.8,31.0,55,170,52,1,1,0
2.0,0.1,4.8,31.0,48,160,14,1,1,0
2.0,0.1,4.8,31.0,106,200,68,1,1,0
2.0,0.1,4.8,31.0,73,157,75,4,1,0
2.0,0.1,4.8,31.0,39,135,12,1,1,0
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,58,163,32,1,0,1
2.0,0.1,4.8,31.0,85,187,40,3,0,1
2.0,0.1,4.8,31.0,62,158,19,3,0,1
2.0,0.1,4.8,31.0,90,195,45,2,0,1
2.0,0.1,4.8,31.0,55,170,52,1,0,1
2.0,0.1,4.8,31.0,48,160,14,1,0,1
2.0,0.1,4.8,31.0,106,200,68,1,0,1
2.0,0.1,4.8,31.0,73,157,75,4,0,0
2.0,0.1,4.8,31.0,39,135,12,1,0,0
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,0
2.0,0.1,4.8,31.0,70,175,25,2,0,0
2.0,0.1,4.8,31.0,70,175,25,2,0,0
2.0,0.1,4.8,31.0,70,175,25,2,0,0
2.0,0.1,4.8,31.0,70,175,25,2,0,0
2.0,0.1,4.8,31.0,58,163,32,1,0,0
2.0,0.1,4.8,31.0,85,187,40,3,0,0
2.0,0.1,4.8,31.0,62,158,19,3,0,0
2.0,0.1,4.8,31.0,90,195,45,2,0,0
2.0,0.1,4.8,31.0,55,170,52,1,0,0
2.0,0.1,4.8,31.0,48,160,14,1,0,0
2.0,0.1,4.8,31.0,106,200,68,1,0,0
2.0,0.1,4.8,31.0,73,157,75,4,0,1
2.0,0.1,4.8,31.0,39,135,12,1,0,1
2.0,0.1,4.8,31.0,70,175,25,2,0,1
2.0,0.1,4.8,31.0,58,163,32,1,0,1
2.0,0.1,4.8,31.0,85,187,40,3,0,1
2.0,0.1,4.8,31.0,62,158,19,3,0,1
2.0,0.1,4.8,31.0,90,195,45,2,0,1
2.0,0.1,4.8,31.0,55,170,52,1,0,1
2.0,0.1,4.8,31.0,48,160,14,1,0,1
2.0,0.1,4.8,31.0,106,200,68,1,0,0
2.0,0.1,4.8,31.0,73,157,75,4,0,0
2.0,0.1,4.8,31.0,39,135,12,1,0,1
2.0,0.1,4.8,31.0,62,158,19,4,0,1
3.1,4.5,4.8,72.0,70,175,25,2,1,0
3.1,4.5,4.8,72.0,58,163,32,1,1,0
3.1,4.5,4.8,72.0,85,187,40,3,1,0
3.1,4.5,4.8,72.0,62,158,19,3,1,0
3.1,4.5,4.8,72.0,90,195,45,2,1,0
3.1,4.5,4.8,72.0,55,170,52,1,1,0
3.1,4.5,4.8,72.0,48,160,14,1,1,0
3.1,4.5,4.8,72.0,106,200,68,1,1,0
3.1,4.5,4.8,72.0,73,157,75,4,1,0
3.1,4.5,4.8,72.0,39,135,12,1,1,0
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,58,163,32,1,0,1
3.1,4.5,4.8,72.0,85,187,40,3,0,1
3.1,4.5,4.8,72.0,62,158,19,3,0,1
3.1,4.5,4.8,72.0,90,195,45,2,0,1
3.1,4.5,4.8,72.0,55,170,52,1,0,1
3.1,4.5,4.8,72.0,48,160,14,1,0,1
3.1,4.5,4.8,72.0,106,200,68,1,0,1
3.1,4.5,4.8,72.0,73,157,75,4,0,0
3.1,4.5,4.8,72.0,39,135,12,1,0,0
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,70,175,25,2,0,1
3.1,4.5,4.8,72.0,70,175,25,2,0,0
3.1,4.5,4.8,72.0,70,175,25,2,0,0
3.1,4.5,4.8,72.0,70,175,25,2,0,0
3.1,4.5,4.8,72.0,70,175,25,2,0,0
3.1,4.5,4.8,72.0,70,175,25,2,0,0
3.1,4.5,4.8,72.0,58,163,32,1,0,0
3.1,4.5,4.8,72.0,85,187,40,3,0,0
3.1,4.5,4.8,72.0,62,158,19,3,0,0
3.1,4.5,4.8,72.0,90,195,45,2,0,0
